ID,NoD,TAP,LCP,SLC,DC,SDC,BC,CC,TZ
new_1,32,22,2.5,165,0.0136,0.18,5.00E-01,19,8
new_2,125,15,0.08,22.5,0.0046,0.129,8.99E-01,63,5
new_3,115,26,0.48,110,0.0048,0.246,5.37E-01,76,15
new_4,70,7.11,0.07,11.45,0.00672,0.113,8.79E-02,31,13
new_5,32,13,3,182.11,0.013,0.163,5.27E-01,17,9
new_6,71,18,0.48,92.7,0.0086,0.229,7.87E-01,45,14
new_7,340,8.26,0.14,165.4,0.0022,0.196,4.74E-01,196,13
new_8,51,10,0.17,38.04,0.0144,0.188,6.25E-01,29,11
new_9,41,12.86,3.64,578,0.017,0.2,7.81E-01,24,9
new_10,105,12.44,0.67,275,0.00703,0.213,6.57E-01,61,15
new_11,72,8.55,1.77,307,0.0099,0.165,4.62E-01,38,13
new_12,52,18.9,0.8,139.7,0.0111,0.19,1.33E-01,28,11
new_13,290,8.6,0.09,160,0.00251,0.096,1.79E-01,142,15
new_14,124,12,0.18,72.88,0.0056,0.155,8.44E-01,64,8
new_15,45,15,0.39,54.4,0.0144,0.156,9.42E-01,22,5
new_16,396,10.9,0.1,279,0.00215,0.108,3.67E-01,206,21
new_17,13,23.2,11.14,353.56,0.372,0.194,4.30E-01,5,4
new_18,32,9.37,3.3,542.7,0.2844,0.19,7.35E-01,17,4
new_19,102,9.04,0.06,17.8,0.0047,0.0969,4.44E-01,45,6
new_20,57,13.7,1.8,221,0.01166,0.176,1.76E-01,30,9
new_21,293,4.7,0.06,88.47,0.00291,0.095,9.91E-01,150,21
new_22,29,18.9,5.6,597,0.0262,0.179,2.47E-01,15,10
new_23,67,20.51,0.6,81.79,0.0095,0.238,4.95E-01,41.99,13
new_24,148,15.9,0.28,257,0.005348,0.129,4.32E-01,77,11
new_25,56,18.47,0.7,95.68,20.8,0.11,6.45E-02,24.7,9
new_26,10,22.13,6.4,120.33,0.0312,0.207,8.50E-01,7.37,1
new_27,28,16.87,1.2,79.5,0.0219,0.227,2.74E-01,17,11
new_28,213,12.3,2.46,232,0.0036,0.166,7.22E-01,117,14
new_29,45,4.8,1.1,126.6,0.01411,0.1815,4.51E-01,25,6
new_30,40,7.1,2.11,305.65,0.0151,0.439,1.92E-01,26.25,6
new_31,150,1.52,0.263,289.5,0.0048,0.076,7.82E-02,67.54,15
new_32,103,4.47,1.096,737,0.0081,0.168,7.74E-01,55.87,12
new_33,362,0.44,0.04,76.77,6.00E-05,0.15,1.93E-01,61.8,18
new_34,97,2.9,0.266,194.25,0.009,0.118,9.02E-01,50,14
new_35,24,21.33,5.5,600.8,0.034,0.279,3.96E-01,13.66,5
new_36,39,6.3,0.63,98.8,0.02,0.216,6.56E-01,22.41,10
new_37,129,3.1,0.2955,108.9,0.005121,0.219052,2.89E-01,78.72,17
new_38,922,0.123,0.01,149.36,0.001,0.056,5.95E-01,472,25
new_39,8,13.25,10.14,202.98,0.11,0.25,2.70E-01,4.49,6
new_40,96,8.29,0.32,153.56,0.0073,0.14876,3.15E-01,49.14,9
new_41,266,197,5,75,0.003,0.164,3.14E-01,147,19
new_42,66,0.124,15,38,0.008744,0.135,8.00E-01,29.94,6
new_43,119,8.93,9.97,41.71,0.00534,0.101834,1.67E-01,55.911,10
new_44,50,18.3,46.44,57.87,0.015809,0.1812,1.18E-01,27.5,10
new_45,46,9.1,23,42.6,0.013,0.127,5.05E-01,19.74,6
new_46,24,16.4,109.54,4.04,0.03712,0.20713,4.78E-01,13.15,6
new_47,52,5.56,1.8,1066.8,0.0141,0.1585,2.77E-01,26.3,8
new_48,340,3.5,0.28,238.6,0.002652,0.1084,2.74E-01,179.59,19
new_49,6,75.75,16.092,5239.103,1,0,8.71E-01,1,3
new_50,58,5.51,1.72,426,0.0101,0.111222,1.10E-01,24.96,13
new_51,53,11.15,1.85,204.67,0.009286,0.172097,9.55E-01,29.15085,7
new_52,46,16.11,2.7,1711.8,0.0086,0.1788,1.02E-02,25.19,9
new_53,37,11.49,2.5,950.53,0.0236,0.2,3.19E-01,20.48,8
new_54,75,13.06,1.3,68.32,0.00996,0.209,1.14E-02,43.07,11
new_55,135,50.37,0.716,635.81,0.00561,0.1895,3.86E-01,75.28,15
new_56,51,17.12,1.6,574.45,0.01156,0.20124,4.95E-01,27.86,14
